,mal_id,url,title,title_japanese,title_romanji,aired,score,filler,recap,forum_url,poll_votes
55,56,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/56,Zarbon's Mission,どでかい戦闘力！！砕け散るフリーザの陰謀,Dodekai Sentouryoku!! Kudakechiru Freeza no Inbou ,1990-08-01T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355831,42
56,57,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/57,"Gohan, the Hunted",元気が戻ったぞ！！１００倍超重力の中の悟空,Genki ga Modotta zo!! Hyakubai Choujuuryoku no Naka no Gokuu ,1990-08-08T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=355843,48
57,58,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/58,Unknown Enemies,フリーザの秘密兵器！悪魔のギニュー特戦隊,Freeza no Himitsu Heiki! Akuma no Ginyuu Tokusentai ,1990-08-22T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355853,48
58,59,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/59,Destination: Guru,ブルマが危ない！！四星球はフリーザの手に,Buruma ga Abunai!! Suushinchuu wa Freeza no Te ni ,1990-08-29T00:00:00+00:00,3.6,False,False,https://myanimelist.net/forum/?topicid=355861,48
59,60,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/60,Bulma's Big Day,激突だ！！不屈の闘志の界王拳とカメハメ波,Gekitotsu da!! Fukutsu no Toushi no Kaiouken to Kamehameha ,1990-09-05T00:00:00+00:00,4.0,False,False,https://myanimelist.net/forum/?topicid=355865,45
60,61,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/61,Hidden Power,迫る超決戦！ギニュー特戦隊只今参上！！,Semaru Choukessen! Ginyuu Tokusentai Tadaima Sanjou!! ,1990-09-12T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=355883,45
61,62,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/62,"New Ally, New Problem",悟空が大接近！フリーザの包囲網をぶち破れ,Gokuu ga Daisekkin! Freeza no Houimou wo Buchiyabure ,1990-09-19T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355903,51
62,63,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/63,Guldo's Mind Binds,超魔術かトリックか！？ＭＲ．グルドが怒ったぞ！,Choumajutsu ka Trick ka!? Mr. Ghurd ga Okotta zo! ,1990-09-26T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=355909,47
63,64,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/64,Recoome Unleashed,猛攻リクーム！！悪くて強くてとんでもない奴,Moui Recoom!! Warukute Tsuyokute Tondemonai Yatsu ,1990-10-24T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355911,47
64,65,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/65,Let the Battle Begin,死ぬな悟飯！悟空、ついに決戦場に到着だ,"Shinu na Gohan! Gokuu, Tsui ni Kessenjou ni Touchaku Da ",1990-10-31T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355923,41
